Below are the match results.  Not all, but the majority we should review for now.
I was able to match:
Matching COR to URI: ""
Matching CPCP to URI: "http://opencoredata/id/resource/csdco/project/cpcp"
Matching CPIRE to URI: ""
Matching CRA to URI: "http://opencoredata/id/resource/csdco/project/cra"
Matching CRAD to URI: "http://opencoredata/id/resource/csdco/project/crad"
Matching CRADLE to URI: "http://opencoredata/id/resource/csdco/project/cradle"
Matching CRNR to URI: "http://opencoredata/id/resource/csdco/project/crnr"
Matching CRV to URI: "http://opencoredata/id/resource/csdco/project/crv"
Matching CRWG to URI: ""
Matching CWLA to URI: "http://opencoredata/id/resource/csdco/project/cwla"
Matching CYC to URI: "http://opencoredata/id/resource/csdco/project/cyc"
Matching DAPH to URI: "http://opencoredata/id/resource/csdco/project/daph"
Matching DCSI to URI: ""
Matching DEAN to URI: "http://opencoredata/id/resource/csdco/project/dean"
Matching DEANS to URI: "http://opencoredata/id/resource/csdco/project/deans"
Matching DJIB to URI: "http://opencoredata/id/resource/csdco/project/djib"
Matching DLDS to URI: "http://opencoredata/id/resource/csdco/project/dlds"
Matching DOW to URI: ""
Matching DR to URI: "http://opencoredata/id/resource/csdco/project/dr"
Matching DSDDP to URI: ""
Matching DUNE to URI: "http://opencoredata/id/resource/csdco/project/dune"
Matching DUST to URI: "http://opencoredata/id/resource/csdco/project/dust"
Matching Deep to URI: ""
Matching ECHO to URI: "http://opencoredata/id/resource/csdco/project/echo"
Matching ED to URI: ""
Matching EDW to URI: "http://opencoredata/id/resource/csdco/project/edw"
Matching EHRN to URI: "http://opencoredata/id/resource/csdco/project/ehrn"
Matching ELK to URI: "http://opencoredata/id/resource/csdco/project/elk"
Matching ELKS to URI: "http://opencoredata/id/resource/csdco/project/elks"
Matching EMR to URI: ""
Matching ESP to URI: "http://opencoredata/id/resource/csdco/project/esp"
Matching ETP(Ethiopian to URI: ""
Matching ETWIN to URI: "http://opencoredata/id/resource/csdco/project/etwin"
Matching EVERG to URI: "http://opencoredata/id/resource/csdco/project/everg"
Matching EYAK to URI: ""
Matching EYASI to URI: "http://opencoredata/id/resource/csdco/project/eyasi"
Matching FALK to URI: ""
Matching FARGO to URI: "http://opencoredata/id/resource/csdco/project/fargo"
Matching FBOM to URI: "http://opencoredata/id/resource/csdco/project/fbom"
Matching FEN to URI: "http://opencoredata/id/resource/csdco/project/fen"
Matching FHPP to URI: "http://opencoredata/id/resource/csdco/project/fhpp"
Matching FIN to URI: "http://opencoredata/id/resource/csdco/project/fin"
Matching FINGER to URI: "http://opencoredata/id/resource/csdco/project/finger"
Matching FISH to URI: "http://opencoredata/id/resource/csdco/project/fish"
Matching FL to URI: ""
Matching FL11 to URI: "http://opencoredata/id/resource/csdco/project/fl11"
Matching FLAM to URI: "http://opencoredata/id/resource/csdco/project/flam"
Matching FLS11 to URI: "http://opencoredata/id/resource/csdco/project/fls11"
Matching FNDP to URI: ""
Matching FOY to URI: "http://opencoredata/id/resource/csdco/project/foy"
Matching FTB to URI: "http://opencoredata/id/resource/csdco/project/ftb"
Matching FUM to URI: "http://opencoredata/id/resource/csdco/project/fum"
Matching GEGO to URI: "http://opencoredata/id/resource/csdco/project/gego"
Matching GEP to URI: "http://opencoredata/id/resource/csdco/project/gep"
Matching GHADAM to URI: ""
Matching GI to URI: "http://opencoredata/id/resource/csdco/project/gi"
Matching GIDA to URI: "http://opencoredata/id/resource/csdco/project/gida"
Matching GLAD1 to URI: "http://opencoredata/id/resource/csdco/project/glad1"
Matching GLAD11 to URI: "http://opencoredata/id/resource/csdco/project/glad11"
Matching GLAD2 to URI: "http://opencoredata/id/resource/csdco/project/glad2"
Matching GLAD4 to URI: "http://opencoredata/id/resource/csdco/project/glad4"
Matching GLAD5 to URI: "http://opencoredata/id/resource/csdco/project/glad5"
Matching GLAD6 to URI: "http://opencoredata/id/resource/csdco/project/glad6"
Matching GLAD7 to URI: "http://opencoredata/id/resource/csdco/project/glad7"
Matching GLAD8 to URI: "http://opencoredata/id/resource/csdco/project/glad8"
Matching GLAD9 to URI: "http://opencoredata/id/resource/csdco/project/glad9"
Matching GLAG to URI: ""
Matching GMSP to URI: "http://opencoredata/id/resource/csdco/project/gmsp"
Matching GNP to URI: "http://opencoredata/id/resource/csdco/project/gnp"
Matching GNY to URI: "http://opencoredata/id/resource/csdco/project/gny"
Matching GREEN to URI: "http://opencoredata/id/resource/csdco/project/green"
Matching GSL to URI: ""
Matching GTB to URI: "http://opencoredata/id/resource/csdco/project/gtb"
Matching GUST to URI: "http://opencoredata/id/resource/csdco/project/gust"
Matching Geotek to URI: ""
Matching Geotek to URI: ""
Matching HAMP to URI: "http://opencoredata/id/resource/csdco/project/hamp"
Matching HAW to URI: ""
Matching HAWS to URI: ""
Matching HAY to URI: "http://opencoredata/id/resource/csdco/project/hay"
Matching HEB to URI: "http://opencoredata/id/resource/csdco/project/heb"
Matching HECI to URI: "http://opencoredata/id/resource/csdco/project/heci"
Matching HERB to URI: "http://opencoredata/id/resource/csdco/project/herb"
Matching HERD to URI: "http://opencoredata/id/resource/csdco/project/herd"
Matching HEW-BDAY07-1A-1P-1.jpg to URI: ""
Matching HFNZ to URI: "http://opencoredata/id/resource/csdco/project/hfnz"
Matching HMC to URI: "http://opencoredata/id/resource/csdco/project/hmc"
Matching HSPDP to URI: "http://opencoredata/id/resource/csdco/project/hspdp"
Matching HU to URI: "http://opencoredata/id/resource/csdco/project/hu"
Matching HYBLA to URI: "http://opencoredata/id/resource/csdco/project/hybla"
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching Hotspot to URI: ""
Matching IARA to URI: "http://opencoredata/id/resource/csdco/project/iara"
Matching IASU to URI: "http://opencoredata/id/resource/csdco/project/iasu"
Matching ICD to URI: ""
Matching ICE to URI: ""
Matching ICEB2 to URI: "http://opencoredata/id/resource/csdco/project/iceb2"
Matching ICEBERG to URI: "http://opencoredata/id/resource/csdco/project/iceberg"
Matching ICO to URI: "http://opencoredata/id/resource/csdco/project/ico"
Matching IDLE to URI: "http://opencoredata/id/resource/csdco/project/idle"
Matching IDRAS to URI: ""
Matching IDS to URI: "http://opencoredata/id/resource/csdco/project/ids"
Matching IML to URI: "http://opencoredata/id/resource/csdco/project/iml"
Matching IN to URI: ""
Matching INDIANA to URI: "http://opencoredata/id/resource/csdco/project/indiana"
Matching IOWA to URI: "http://opencoredata/id/resource/csdco/project/iowa"
Matching IRNP to URI: "http://opencoredata/id/resource/csdco/project/irnp"
Matching ISRON to URI: "http://opencoredata/id/resource/csdco/project/isron"
Matching ISSYK to URI: "http://opencoredata/id/resource/csdco/project/issyk"
Matching IST to URI: "http://opencoredata/id/resource/csdco/project/ist"
Matching IWLP to URI: "http://opencoredata/id/resource/csdco/project/iwlp"
Matching JAVA to URI: "http://opencoredata/id/resource/csdco/project/java"
Matching JAX to URI: "http://opencoredata/id/resource/csdco/project/jax"
Matching JBR to URI: "http://opencoredata/id/resource/csdco/project/jbr"
Matching JGA to URI: "http://opencoredata/id/resource/csdco/project/jga"
Matching JMSM to URI: "http://opencoredata/id/resource/csdco/project/jmsm"
Matching JOL to URI: ""
Matching JUDD to URI: "http://opencoredata/id/resource/csdco/project/judd"
Matching JWR to URI: "http://opencoredata/id/resource/csdco/project/jwr"
Matching K2014 to URI: "http://opencoredata/id/resource/csdco/project/k2014"
Matching KARUPA to URI: "http://opencoredata/id/resource/csdco/project/karupa"
Matching KAUF to URI: "http://opencoredata/id/resource/csdco/project/kauf"
Matching KELTS to URI: "http://opencoredata/id/resource/csdco/project/kelts"
Matching KENAI to URI: "http://opencoredata/id/resource/csdco/project/kenai"
Matching KKLS to URI: "http://opencoredata/id/resource/csdco/project/kkls"
Matching KPW to URI: "http://opencoredata/id/resource/csdco/project/kpw"
Matching KUROP to URI: "http://opencoredata/id/resource/csdco/project/kurop"
