Location Name,Location Type,Project,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Lake Bog 1408,wetland,CIP,BGLB,1,A,1A,,CIP-BGLB09-1A,ground,20090709,0.0,USA,Alaska,Matanuska-Susitna,"Mike Gracz, Paul Glaser",61.54200,-149.96300,46,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,2.85,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater Bend,wetland,CIP,BKWR,1,A,1A,Blackwater Bend,CIP-BKWR08-1A,ground,20080715,0,USA,Alaska,Kenai Peninsula,"Mike Gratz, Paul Glaser",59.75516,-151.75194,65,approximate (location/coordinates identified on a map),LacCore_CIvE,LacCore_CIvE,core,,0,0.935,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,10,A,10A,Blue Lake J06-HC,AK-BLUE06-10A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.74,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,1,A,1A,Blue Lake A06-HC,AK-BLUE06-1A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.535,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,2,A,2A,Blue Lake B06,AK-BLUE06-2A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,1.55,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,3,A,3A,Blue Lake C06,AK-BLUE06-3A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,3.895,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,4,A,4A,Blue Lake D06-HC,AK-BLUE06-4A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.505,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,5,A,5A,Blue Lake E06-HC,AK-BLUE06-5A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.535,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,7,A,7A,Blue Lake G06,AK-BLUE06-7A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,1.5,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,8,A,8A,Blue Lake H06-HC,AK-BLUE06-8A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,0.8,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
