Below are the match results. 
Matching CLDP to URI: "http://opencoredata.org/id/csdco/project/v1/CLDP"
Matching CLFLWD to URI: "http://opencoredata.org/id/csdco/project/v1/CLFLWD"
Matching CLGC to URI: "http://opencoredata.org/id/csdco/project/v1/CLGC"
Matching CLO to URI: ""
Matching CLOTHO to URI: ""
Matching CLW to URI: "http://opencoredata.org/id/csdco/project/v1/CLW"
Matching CMTS to URI: ""
Matching CNV to URI: "http://opencoredata.org/id/csdco/project/v1/CNV"
Matching COL to URI: "http://opencoredata.org/id/csdco/project/v1/COL"
Matching COLO to URI: "http://opencoredata.org/id/csdco/project/v1/COLO"
Matching COOL to URI: "http://opencoredata.org/id/csdco/project/v1/COOL"
Matching COR to URI: "http://opencoredata.org/id/csdco/project/v1/COR"
Matching CPCP to URI: "http://opencoredata.org/id/csdco/project/v1/CPCP"
Matching CPIRE to URI: ""
Matching CRA to URI: "http://opencoredata.org/id/csdco/project/v1/CRA"
Matching CRAD to URI: "http://opencoredata.org/id/csdco/project/v1/CRAD"
Matching CRADLE to URI: "http://opencoredata.org/id/csdco/project/v1/CRADLE"
Matching CRNR to URI: "http://opencoredata.org/id/csdco/project/v1/CRNR"
Matching CRV to URI: "http://opencoredata.org/id/csdco/project/v1/CRV"
Matching CRWG to URI: ""
Matching CWLA to URI: "http://opencoredata.org/id/csdco/project/v1/CWLA"
Matching CYC to URI: "http://opencoredata.org/id/csdco/project/v1/CYC"
Matching DAPH to URI: "http://opencoredata.org/id/csdco/project/v1/DAPH"
Matching DCSI to URI: ""
Matching DEAN to URI: "http://opencoredata.org/id/csdco/project/v1/DEAN"
Matching DEANS to URI: "http://opencoredata.org/id/csdco/project/v1/DEANS"
Matching DJIB to URI: "http://opencoredata.org/id/csdco/project/v1/DJIB"
Matching DLDS to URI: "http://opencoredata.org/id/csdco/project/v1/DLDS"
Matching DOW to URI: ""
Matching DR to URI: "http://opencoredata.org/id/csdco/project/v1/DR"
Matching DSDDP to URI: ""
Matching DUNE to URI: "http://opencoredata.org/id/csdco/project/v1/DUNE"
Matching DUST to URI: "http://opencoredata.org/id/csdco/project/v1/DUST"
Matching Deep to URI: ""
Matching ECHO to URI: "http://opencoredata.org/id/csdco/project/v1/ECHO"
Matching ED to URI: ""
Matching EDW to URI: "http://opencoredata.org/id/csdco/project/v1/EDW"
Matching EHRN to URI: "http://opencoredata.org/id/csdco/project/v1/EHRN"
Matching ELK to URI: "http://opencoredata.org/id/csdco/project/v1/ELK"
Matching ELKS to URI: "http://opencoredata.org/id/csdco/project/v1/ELKS"
Matching EMR to URI: ""
Matching ESP to URI: "http://opencoredata.org/id/csdco/project/v1/ESP"
Matching ETP(Ethiopian to URI: ""
Matching ETWIN to URI: "http://opencoredata.org/id/csdco/project/v1/ETWIN"
Matching EVERG to URI: "http://opencoredata.org/id/csdco/project/v1/EVERG"
Matching EYAK to URI: ""
Matching EYASI to URI: "http://opencoredata.org/id/csdco/project/v1/EYASI"
Matching FALK to URI: "http://opencoredata.org/id/csdco/project/v1/FALK"
Matching FARGO to URI: "http://opencoredata.org/id/csdco/project/v1/FARGO"
Matching FBOM to URI: "http://opencoredata.org/id/csdco/project/v1/FBOM"
Matching FEN to URI: "http://opencoredata.org/id/csdco/project/v1/FEN"
Matching FHPP to URI: "http://opencoredata.org/id/csdco/project/v1/FHPP"
Matching FIN to URI: "http://opencoredata.org/id/csdco/project/v1/FIN"
Matching FINGER to URI: "http://opencoredata.org/id/csdco/project/v1/FINGER"
Matching FISH to URI: "http://opencoredata.org/id/csdco/project/v1/FISH"
Matching FL to URI: ""
Matching FL11 to URI: "http://opencoredata.org/id/csdco/project/v1/FL11"
Matching FLAM to URI: "http://opencoredata.org/id/csdco/project/v1/FLAM"
Matching FLS11 to URI: "http://opencoredata.org/id/csdco/project/v1/FLS11"
Matching FNDP to URI: ""
Matching FOY to URI: "http://opencoredata.org/id/csdco/project/v1/FOY"
Matching FTB to URI: "http://opencoredata.org/id/csdco/project/v1/FTB"
Matching FUM to URI: "http://opencoredata.org/id/csdco/project/v1/FUM"
Matching GEGO to URI: "http://opencoredata.org/id/csdco/project/v1/GEGO"
Matching GEP to URI: "http://opencoredata.org/id/csdco/project/v1/GEP"
Matching GHADAM to URI: ""
Matching GI to URI: "http://opencoredata.org/id/csdco/project/v1/GI"
Matching GIDA to URI: "http://opencoredata.org/id/csdco/project/v1/GIDA"
Matching GLAD1 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD1"
Matching GLAD11 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD11"
Matching GLAD2 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD2"
Matching GLAD4 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD4"
Matching GLAD5 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD5"
Matching GLAD6 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD6"
Matching GLAD7 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD7"
Matching GLAD8 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD8"
Matching GLAD9 to URI: "http://opencoredata.org/id/csdco/project/v1/GLAD9"
Matching GLAG to URI: ""
Matching GMSP to URI: "http://opencoredata.org/id/csdco/project/v1/GMSP"
Matching GNP to URI: "http://opencoredata.org/id/csdco/project/v1/GNP"
Matching GNY to URI: "http://opencoredata.org/id/csdco/project/v1/GNY"
Matching GREEN to URI: "http://opencoredata.org/id/csdco/project/v1/GREEN"
Matching GSL to URI: ""
Matching GTB to URI: "http://opencoredata.org/id/csdco/project/v1/GTB"
Matching GUST to URI: "http://opencoredata.org/id/csdco/project/v1/GUST"
Matching Geotek to URI: ""
Matching Geotek to URI: ""
Matching HAMP to URI: "http://opencoredata.org/id/csdco/project/v1/HAMP"
Matching HAW to URI: ""
Matching HAWS to URI: "http://opencoredata.org/id/csdco/project/v1/HAWS"
Matching HAY to URI: "http://opencoredata.org/id/csdco/project/v1/HAY"
Matching HEB to URI: "http://opencoredata.org/id/csdco/project/v1/HEB"
Matching HECI to URI: "http://opencoredata.org/id/csdco/project/v1/HECI"
Matching HERB to URI: "http://opencoredata.org/id/csdco/project/v1/HERB"
Matching HERD to URI: "http://opencoredata.org/id/csdco/project/v1/HERD"
Matching HEW-BDAY07-1A-1P-1.jpg to URI: ""
Matching HFNZ to URI: "http://opencoredata.org/id/csdco/project/v1/HFNZ"
Matching HMC to URI: "http://opencoredata.org/id/csdco/project/v1/HMC"
Matching HSPDP to URI: "http://opencoredata.org/id/csdco/project/v1/HSPDP"
Matching HU to URI: "http://opencoredata.org/id/csdco/project/v1/HU"
Matching HYBLA to URI: "http://opencoredata.org/id/csdco/project/v1/HYBLA"
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching High to URI: ""
Matching Hotspot to URI: ""
Matching IARA to URI: "http://opencoredata.org/id/csdco/project/v1/IARA"
Matching IASU to URI: "http://opencoredata.org/id/csdco/project/v1/IASU"
Matching ICD to URI: ""
Matching ICE to URI: ""
Matching ICEB2 to URI: "http://opencoredata.org/id/csdco/project/v1/ICEB2"
Matching ICEBERG to URI: "http://opencoredata.org/id/csdco/project/v1/ICEBERG"
Matching ICO to URI: "http://opencoredata.org/id/csdco/project/v1/ICO"
Matching IDLE to URI: "http://opencoredata.org/id/csdco/project/v1/IDLE"
Matching IDRAS to URI: ""
Matching IDS to URI: "http://opencoredata.org/id/csdco/project/v1/IDS"
Matching IML to URI: "http://opencoredata.org/id/csdco/project/v1/IML"
Matching IN to URI: ""
Matching INDIANA to URI: "http://opencoredata.org/id/csdco/project/v1/INDIANA"
Matching IOWA to URI: "http://opencoredata.org/id/csdco/project/v1/IOWA"
Matching IRNP to URI: "http://opencoredata.org/id/csdco/project/v1/IRNP"
Matching ISRON to URI: "http://opencoredata.org/id/csdco/project/v1/ISRON"
Matching ISSYK to URI: "http://opencoredata.org/id/csdco/project/v1/ISSYK"
Matching IST to URI: "http://opencoredata.org/id/csdco/project/v1/IST"
Matching IWLP to URI: "http://opencoredata.org/id/csdco/project/v1/IWLP"
Matching JAVA to URI: "http://opencoredata.org/id/csdco/project/v1/JAVA"
Matching JAX to URI: "http://opencoredata.org/id/csdco/project/v1/JAX"
Matching JBR to URI: "http://opencoredata.org/id/csdco/project/v1/JBR"
Matching JGA to URI: "http://opencoredata.org/id/csdco/project/v1/JGA"
Matching JMSM to URI: "http://opencoredata.org/id/csdco/project/v1/JMSM"
Matching JOL to URI: ""
